State Names,UN Membership,Sovereignty,More Information
São Tomé and Príncipe– Democratic Republic of São Tomé and Príncipe,AUN member state,ANone,"São Tomé and Príncipe contains one autonomous province,Príncipe.[h]"
Saudi Arabia– Kingdom of Saudi Arabia,AUN member state,ANone,
Senegal– Republic of Senegal,AUN member state,ANone,
Serbia– Republic of Serbia,AUN member state,ANone,"Serbia contains two autonomous provinces,VojvodinaandKosovo and Metohija.[h]The latter is under the de facto control ofKosovo."
Seychelles– Republic of Seychelles,AUN member state,ANone,
Sierra Leone– Republic of Sierra Leone,AUN member state,ANone,
Singapore– Republic of Singapore,AUN member state,ANone,
Slovakia– Slovak Republic,AUN member state,ANone,Member of the EU.[e]
Slovenia– Republic of Slovenia,AUN member state,ANone,Member of the EU.[e]
Solomon Islands,AUN member state,ANone,Solomon Islands is aCommonwealth realm.[g]
Somalia– Federal Republic of Somalia,AUN member state,ANone,"Somalia is a federation ofsix states. Two,PuntlandandGalmudug, have self-declared autonomy, while one,Somaliland, is de facto independent."
South Africa– Republic of South Africa,AUN member state,ANone,
South Korea– Republic of Korea,AUN member state,BClaimed byAfghanistanClaimed byGeorgiaClaimed byNorth KoreaClaimed bySerbiaClaimed bySomaliaClaimed by thePeople's Republic of ChinaClaimed by theRepublic of ChinaClaimed bySouth KoreaClaimed byAzerbaijanClaimed by theRepublic of CyprusDisputed byIsraelClaimed byIndonesiaClaimed by theMarshall IslandsClaimed byMauritiusClaimed byMoroccoClaimed byMoldovaClaimed byMaliClaimed bySpainClaimed byArgentinaClaimed byUkraine,"South Korea has one autonomous region,Jeju Province.[h][55]South Korea is not recognised byNorth Korea, which claims to be the sole legitimate government ofKorea."
South Sudan– Republic of South Sudan,AUN member state,ANone,"South Sudan is afederationof10 states and three administrative areas.TheAbyei Areais a zone with ""special administrative status"" established by theComprehensive Peace Agreementin 2005. It is de jure a condominium of South Sudan andSudan, but de facto administered by two competing administrations and the United Nations.[56][57]"
Spain– Kingdom of Spain,AUN member state,ANone,Member of the EU.[e]Spain is divided into17 autonomous communities and two special autonomous cities.[h][ag]
Sri Lanka– Democratic Socialist Republic of Sri Lanka[ah],AUN member state,ANone,
Sudan– Republic of the Sudan,AUN member state,ANone,"Sudan is afederationof18 states.TheAbyei Areais a zone with ""special administrative status"" established by theComprehensive Peace Agreementin 2005. It is de jure a condominium ofSouth Sudanand Sudan, but de facto administered by two competing administrations and the United Nations.[56][57]"
Suriname– Republic of Suriname,AUN member state,ANone,
Sweden– Kingdom of Sweden,AUN member state,ANone,Member of the EU.[e]
Switzerland– Swiss Confederation,AUN member state,ANone,Switzerland is afederationof26 cantons.
Syria– Syrian Arab Republic,AUN member state,ANone,"TheNational Coalition of Syrian Revolutionary and Opposition Forces, which isrecognisedas the legitimate representative of the Syrian people by 20 UN members, has established aninterim governmentto rule rebel-controlled territory during theSyrian civil war.Syria has one self-declared autonomous region,Rojava."
Tajikistan– Republic of Tajikistan,AUN member state,ANone,"Tajikistan contains one autonomous region,Gorno-Badakhshan.[h]"
Tanzania– United Republic of Tanzania,AUN member state,ANone,"Tanzania contains one autonomous region,Zanzibar.[h]"
Thailand– Kingdom of Thailand,AUN member state,ANone,
Timor-Leste– Democratic Republic of Timor-Leste[ai],AUN member state,ANone,
Togo– Togolese Republic,AUN member state,ANone,
Tonga– Kingdom of Tonga,AUN member state,ANone,
Trinidad and Tobago– Republic of Trinidad and Tobago,AUN member state,ANone,"Trinidad and Tobago contains one autonomous region,Tobago.[h]"
Tunisia– Republic of Tunisia,AUN member state,ANone,
Turkey– Republic of Türkiye[aj],AUN member state,ANone,
Turkmenistan,AUN member state,ANone,
Tuvalu,AUN member state,ANone,Tuvalu is aCommonwealth realm.[g]
Uganda– Republic of Uganda,AUN member state,ANone,
Ukraine,AUN member state,ANone,"Ukraine contains one autonomous region, theAutonomous Republic of Crimea,[h]which is under the control ofRussia. Seven other areas of Ukraine are under full or partial Russian control, includingDonetsk,Kharkiv,Kherson,Luhansk,Mykolaiv,Zaporizhzhiaoblasts andSevastopol."
United Arab Emirates,AUN member state,ANone,The United Arab Emirates is afederationofseven emirates.
United Kingdom– United Kingdom of Great Britain and Northern Ireland,AUN member state,ANone,"The United Kingdom is aCommonwealth realm[g]consisting offour constituent countries:England,Northern Ireland,Scotland, andWales. The United Kingdom has the following 13overseas territoriesand oneclaimedAntarctic dependent territory:Akrotiri and DhekeliaAnguillaBermudaBritish Indian Ocean TerritoryBritish Virgin IslandsCayman IslandsFalkland IslandsGibraltarMontserratPitcairn IslandsSaint Helena, Ascension and Tristan da CunhaSouth Georgia and the South Sandwich IslandsTurks and Caicos IslandsBritish Antarctic TerritoryTheBritish monarchalso has direct sovereignty over three self-governingCrown Dependencies:GuernseyIsle of ManJersey"
